بی حال و سست	کسل
انقیاد بدون ته	انقیا
پسرم قزوینی	ببم
نوعی معادله در ریاضی	سهمی
نظر و عقیده	رای
از باشگاه های آلمان	بوخوم
همسر ایرانی امام حسین(ع)	شهربانو
سیاستمدار یونان کهن	لایناس
از ورزش‌های آبی	شنا
گیاه و سبزه	سبزی
نامی پسرانه	نکیسا
از بازیگران سال‌های دور از خانه	هادیکاظمی
فرقه ای مذهبی در عربستان	وهابی
فیلمی از اکبر خواجویی	محیا
آسیاب دستی	دستاس
آشیانه مرغ	کابوک
واحد پول چین	یوان
روزه‌دار	صایم
از سرداران شهید هشت سال دفاع مقدس	یوسفکلاهدوز
واحد پول سورینام	گیلدر
غذای ساده	اش
دعاهای زیر لب	اوراد
علیل	چلاق
گشودن معما	حل
آویخته	اندروا
مضاعف و دو برابر	دوبل
دومین شهر پر جمعیت سوئد	گوتنبورگ
نوعی ژانر فیلم	ملودرام
کلام پنهان و رازگونه	سربهمهر
حکومت شاهنشاهی	امپراتوری
مراسم بزرگداشت	یادمان
نمایندگان قانونی	وکلا
مخفف آنکه	انک
کشیدنی زندگان!	سفن
لحظه به لحظه	دمادم
جملگی	همه
اثری از علامه امینی	الغدیر
عدد روستایی	ده
فیلم سیاسی معروف	زد
برش سینمایی	کات
پوشیدگی	خفا
مقابل عقب	جلو
پسوند شباهت	وار
طول بدن	قد
حس گر الکترونيکي	سنسور
همراه داماد در شب عروسی	ساقدوش
استانی در ایران	سمنان
دختر کورش	اتوسا
آخری	پسین
پیام‌نما	تلهتکست
مرد فریبنده	خب
مقبره	ارامگاه
تحقیق کننده	محقق
م د ق (درهم ریخته)	قدم
رنگ سیاه	اسود
نظامی آموزش دیده	کماندو
همسر	شوی
انعام شاگرد مغازه	دستاران
تکرار حرف	بب
ایالت یخی آمریکا	الاسکا
مانندتر	اشبه
ايالتي در آفريقاي جنوبي	ترانسکی
اولین نخست وزیر الجزایر	بنبلا
وسیله ترمز	لنت
felt	نمد
کارگردان شب‌واقعه	شهراماسدی
معلم دبیرستان	دبیر
کشور عجایب	هند
اقامت در جایی	سکنا
نوعی حساب بانکی	بلندمدت
از امراض عفونی	اورتریت
شگفتی	وجد
آمرزیده شده	مغفور
حرف W	دبلیو
سطح	رو
پارچه ابریشمی یزدی	تافته
فرمان سکوت	هیس
سدی در استان خراسان	کارده
لوچ	دوبین
روان	جان
نگهبان گله	سگ
معشوق	دلدار
11	اقاخانی
یکدیگر را خواندن	تداعی
Cup	جام
لولای پا	زانو
کلمه آرزو	کاش
معادل فارسی باندرل	نوارچسب
مخفف شاه	شه
زیرین	پایینی
پوشش پرندگان	پر
پستانداری از خانواده موش	همستر
از میوه های تابستانی	گیلاس
اتمسفر و جو	هوا
توقیف شده	ممنوع
رودی در همدان	تلوار
670	خنک
کوشا	ساعی
ماده ای مانند کاهگل که روی بام مالیده شود	اندود
فرهیخته	ادبپرورده
از صفات خداوند	صمد
تصفیه شده	مصفی
نفس سوزناک	ها
آوازی در دستگاه شور	دشتی
فیلمی از داود میرباقری	مسافرری
ریش سفید	اتا
آبگیر	استخر
آفریده شدگان	انام
بخشی از زرین دشت استان فارس	دبیران
کم‌حواس	گیج
alone	تنها
خجسته و مبارک	میمون
لباس اتاق عمل	گان
از باشگاه های حرفه ای ایتالیا	لاتزیو
زبان رسمی کشور سوریه	عربی
اثر سیمون دوبووار	کهنسالی
از شهرهای ترکیه	یوزگات
کامروا	مجدود
آلونک	کومه
طریقه و روش	ایین
گیاه دارویی	کاسنی
روا کردن امری	اجرا
پرستاری	حضانت
کاری به نوبت انجام دادن	تناوب
زرنگاری	تذهیب
مرکز نروژ	اسلو
پاکی و طهارت	قداست
فاتحه خوانی	ختم
False	غلط
فکاهی	طنز
شیار باریک	خش
ریختن آب	صب
صفت سیب زمینی	بیرگ
نام محلی است	نایه
از بنادر یمن	بندرعدن
شیمی کربن	الی
صادق	راستگو
قربان و نثار	فدا
طعن و سرزش	ژخ
رمال	فالبین
زمان مرگ	اجل
کوهان بلند	کتر
آبنوس	شیز
خواننده موسیقی سریال پیله های پرواز	علیلهراسبی
فیلمی به کارگردانی وودی آلن	منهتن
شهر اصفهان	فلاورجان
زدنی بچه	نق
محل دفن	مدفن
پشتکار	اراده
با هم ستودن	اتصاف
آذری زبان	ترک
زر خالص	ساو
در سالاد می‌ریزند	خیار
عاشق	شیفته
سقط جنین	ذرم
جمله دستوری	امری
کمربندی که در اتومبیل می‌بندند	ایمنی
میوه	بار
سوره انجیر	تین
محصولی از سویا	شیرسویا
خرس فلکی	دب
نگهبان مخزن کالا	انباردار
از آثار تاریخی میبد یزد	نارینقلعه
ردیف و طبقه	سری
علم مطالعه درباره زندگی حیوانات	جانورشناسی
شهر ساحلی	بندر
کنایه از آدم عزیز و برگزیده	گلسرسبد
سقز مدرن	ادامس
میزان گرمی یا سردی	دما
پیش مزد	دشت
تیردان	ترکش
کشک سیاه	قرهقروت
خاندان	ال
به هم دست دادن	مصافحه
بحر	دریا
توان و نیرو	رمق
میراث خوار	وارث
از نیروهای ارتشی	هوایی
محاکمه و بازپرسی	دادرسی
هنگام صبح	بامداد
از نام های دخترانه	نسترن
قوی و پر زور	مردافکن
بخشاینده	امرزنده
15	کرار
M	ام
یک غذای مشهور دریایی ژاپنی	سوریمی
پنبه زنی	حلاجی
محروم	ناکام
raspberry	تمشک
شهرت تیم دالاس در NBA	ماوریکز
نت سوم	می
محافظین‌ ویژه	گارد
دکان شیرینی فروشی	قنادی
منطقه ای در گیلان	واجارگاه
شهری در افغانستان	هرات
بهره‌ها و سودها	فواید
امر به گداختن	گداز
بندری در دانمارک	اسکاگن
دورگه	یکدش
از گروه های خونی	او
چای خارجی	سرداب
برآمدگی که بر بالای معابد و مساجد می‌سازند	گنبد
اشتباه غیر عمدی	سهو
دیدنی	تماشایی
پروردگار	یزدان
قطعه ای در ویدئو	هد
کشت و زرع	ورز
Quality	کیفی
طایفه‌ای از ایل بختیاری	سرلک
شهری در فرانسه	تولوز
همراه با حزن و اندوه	دردالود
از شهرهای استان ایلام	مهران
تقویتی گیاه	کود
سخن آفرینی	انشا
باغبان	گلپیرا
port	بندر
از ایالت های هندوستان	راجستان
از حرکات ورزشی بوکس	اپرکات
لات و ولگرد	بیسروپا
کنایه از دیوانه	ماهزده
نوعی برنج	صدری
پل مردابی	کرپی
گود و مقعر	کاو
جانشین	بدیل
زن شوهر مرده	ایم
یکدنده	لجباز
میوه سفره هفت‌سین	سیب
تکلف مدرسه	مشق
استراتژی جنگی	راهبرد
ستاره شناس	منجم
از قهرمانان جنگ ترویا	ایاکس
همنشین تنها	تک
سرزمین ها	اقالیم
نشانه الهی	ایت
از شهرهای ژاپن	کیوتو
تونل چالوس	کندوان
به تاخیر انداختن مسابقه کشتی از روی عمد	کمکاری
از برندگان نوبل ادبیات 1966 میلادی	نلیساچز
واقف و آگاه	خبیر
خون گیر	تونگو
زادگاه اقبال لاهوری	سیالکوت
چهره نگار	سیماگر
زیرکی	رندی
بازیگر فیلم سه پادشاه	جورجکلونی
اسب نر	گشسب
Science	علم
اطراف و پیرامون	حومه
تابلویی از فرانس هالز	سوارهخندان
swim	شنا
گروه رویان	رزت
امکان پذیر	میسر
کرایه	اجاره
عضو سپید دهان	د ندا ن
از بنادر پرتغال	ستوبال
چوبدستی پلیس	باتون
فیلمی از پوران درخشنده	رویایخیس
بیکار	باهل
kettle	کتری
گریه و نوحه	نیوه
رمنده	نافر
قلم درشت	نی
خجسته و مبارک	یمن
لقبی در عهد صفویه	یوزباشی
فیلمی با بازی پیرس برازنان	روزدیگربمیر
تصاویر فکاهی	کمیک
غنیمت شمردن	اغتنام
سند قدیمی	بنچاق
رود مصر	نیل
از میوه‌های گرمسیری و زردرنگ	موز
سجاده	جانماز
جشنواره معروف	کن
پاک سرشت	روشننهاد
مقابل فرود	فراز
بلندی اندام	قد
ناواضح	مبهم
مدارک	اسناد
استراحت کردن	ارمیدن
بدی کردن	شرارت
قالب صنعتی	ماتریس
نظرها	ارای
کتاب لغت	قاموس
به موقع	بجا
دریاچه ای در آفریقای جنوبی	نیاسا
مقابل‌ سردی	گرمی
گروه‌ها	افواج
ماه بی همتا	ایتک
صمغ بادام کوهي	ازدو
اثری از ارسکین کالدول	بازی
ارتعاش	لرزش
بشارت	نوید
از منصب ها و مقام های بزرگ لشکری زمان ساسانیان	ارگبد
از غذاهای شیرازی	حلوایکاسه
باب روز	دم
از ورزش های هوازی	ایروبیک
چرک زخم	هبر
رگ های بازو	رواهش
خام	نپخته
نفس تنگی	دمه
مدرک مقطعه دبیرستان	دیپلم
تخت بیمار	برانکار
تر و تازه	ریان
شعر معروفی از رهی معیری	یادایام
خلافت و جانشینی	وکالت
صدای کلفت	بم
شیار داخل لوله تفنگ	خان
شهری در استرالیا	سیدنی
کلاسمان	ردهبندی
سالک	رهرو
خودی و شناس	اشنا
مادر خودمانی	مامان
رهبر قاره آفریقا	ماندلا
برج معروف پاریس	ایفل
فیلمی به کارگردانی محمد بانکی	توومن
جزیره جنوبی کشورمان	لاوان
فرمانروایی	حکومت
نامور و معروف	شهیر
جزیره	ابخست
ستمکار و زورگو	جابر
گوژپشت	احدب
اندوهگین	غمناک
لاستیک یدکی	زاپاس
آهو و غزال	ظبی
بی کران	نامحدود
نوعی ساعت	کوکی
فرزند عزیز و محبوب	دلبند
دایی و پدزن حضرت یعقوب(ع)	لابان
رختخواب	بستر
بزرگوار	مفخم
تزیین و آراستن	زت
فرمان کشتی	سکان
نیازمند خیابانی	گدا
کاسب	پیشهور
عدد ورزشی	دو
ناسپاسی	کفر
متاع	کالا
از روی نادانی	جاهلانه
مهرساز	حکاک
جلد و چابک	فرز
ادب و فرهنگ	نزاکت
از نوشت افزار	مداد
زد و خورد	دعوا
اسب راه رو	یورغه
کنایه از چشمان خمارآلود	نرگسچشم
کوزه پر آب	ورزگن
پیش شماره	کد
باعرضه و شایسته	باکفایت
گل شهیدان	لاله
جنب و پهلو	کنار
شخص فرومایه	خس
یک دسته سرباز روسی	اتریاد
نالایق و بی قابلیت	نااهل
مهم‌ترین و مشهورترین اثر منظوم محمود شبستری	گلشنراز
پیمانه	کیل
غارت	چپو
از توابع نطنز	ابیانه
طولانی ترین رود آفریقا	نیل
يکي از گوشه هاي دستگاه سه گاه	رنگاصول
تشک	نهالین
pillar	رکن
مجرم	بزهکار
ترشح کردن	تراو
به جا گذشته	متروک
میوه کرک دار	کیوی
تراک و رخنه	چاک
تندرستی	عافیت
انکار کردن	حاشا
خنده‌دار	فکاهی
خالی از هوا	خلا
شکوه گر و گله کننده	شاکی
بازیکن سابق فوتبال هلند	وربیک
طلق نسوز	میکا
تک و یگانه	تنها
سلسله ای در تاریخ ایران	سلوکیان
پرهیزکار	باتقوا
گنگ	ابکم
آزرده	ملول
پرسش ها	مسایل
از این جهت	لذا
هم جنس بودن	تجانس
دیدار اماکن متبرکه	زیارت
کالای‌ غیرمجاز	قاچاق
تبهکاران و بدکاران	اشرار
فیلمی از حسین قناعت	چاینت
اطراف لب و دهان	بج
رگ گردن	جدو
ضیق و جای تنگ	تنگنا
تمرین کردن	ممارست
sting	نیش
پادشاه	حاکم
بلندترین کوه جهان	اورست
فقیر و بی‌بضاعت	مستضعف
استهزا و مسخره کردن	ریشخند
نام کوچک گاگارین اولین فضانورد	یوری
گرد وغبار	هبا
پوشش ستور	جل
فیلمی از رنه کلر	چهاردهژوییه
نوعی وسیله بازی قدیمی	سگا
چپ چشم	احول
از آثار تاریخی خوزستان	موزهشوش
از سوره های قرآن	صافات
تکه پارچه کهنه	لته
نام دیگر سیاره‌مریخ	بهرام
عدد یک رقمی	هشت
سمت و جانب	جهت
ماهی تازی	سمک
روغن و چربی	په
جاری شده	ماجری
قبایل و طوایف	عشایر
از ورزش های رزمی	یایدو
سرپرستی	قیومیت
مقابل عمودی	افقی
لقب کشور یمن	سرزمینسبا
بزرگواری	فخامت
شهر هرمزگان	میناب
پیرمرد شب عید کریسمس	بابانویل
پایدار و ماندگار	جاویدان
کثیف بودن	ناپاکی
حرف نداری	بی
شکست در شطرنج	مات
مرکز استان مرکزی	اراک
کارها	افعال
از شهرهای استان‌البرز	فردیس
پول برزیلی	کروز
رودی در شهر آمستردام هلند	امیستل
سیه‌پوش خوشبخت!	داماد
موج گیر رادیو	انتن
ماه	مانگ
کیفر متقابل	قصاص
کشوری در همسایگی فرانسه	اندورا
کشمش سیاه دانه دار	مویز
جولا درهم	والج
مجموع دو قاره اروپا و آسیا	اوراسیا
Generation	نسل
جنگ اسکندر با داریوش سوم	ایسوس
پسر یعقوب	یوسف
شوکت و بزرگی	احتشام
27	رنه
سود و قسمت	بهره
کناره هرچیز	لبه
شتر بی‌کوهان	لاما
فیلمی از مسعود ده‌نمکی	زندانیها
رای موافق دادن مجلس یا هیأت وزیران به لایحه‌ای	تصویب
آلبومی از علی زند وکیلی	عبورازمه
دستورنامه	حکم
از حروف الفبا	واو
پاسبان گشت شبانه در قدیم	گزمه
خبر جستن	استخبار
برنده جایزه نوبل ادبی 1997 میلادی	داریوفو
امر به دویدن	بدو
ده هزار سال ترکی	ون
رشته‌ای که از تارهای پیله برای دوختن و بافتن سازند	ابریشم
سپاه	قشون
فراورده ای لبنی	سرشیر
تبدیل گاز به مایع	میعان
سالخورده و مسن	پیر
اعلام رسمی پادشاهی	تاجگذاری
تخت حمل بیمار	برانکار
نوعی سلاح سرد	نیزه
از اعداد دو رقمی بین ده تا بیست	نوزده
جامه بند	بقچه
تخمی که بر روی خمیر پاشند	نینیا
بوی ماندگی	نا
انباشته شده	کوت
مستقل و مجزا	جداگانه
فیلمی از فریدون حسن پور	ناردون
کشور هیتلر	المان
نان روغنی	تکو
قدیمی	دیرین
مهاجم یونانی	جپاس
پرو لبریز	مالامال
دریاچه ای در روسیه	لاچا
مه و بخار	نزم
کنایه از زبر دستی	یدطولا
قرض بانکی	وام
بیان حالت	صفت
شرح دادن	توضیح
منسوب به عیسی (ع )	عیسوی
foreign	خارجی
آسیب	گزند
دلخوری و تکدر	رنجش
بیش از ۷۱ درصد سطح کره زمین را پوشانده‌است	اب
نوعی نرم افزار	تاچ
از علوم خفیه	لیمیا
دامپزشکی	بیطاری
شعبه‌ای از زبان فارسی	پشتو
شهر زادگاه پیشوای دوم شیعیان	مدینه
باپرکاری	فعالانه
خلق کردن	افریدن
اتمسفر	جو
مخفف که از بر	کزبر
حالتی از پرواز هواپیما	کروز
عقوبت و سزا	نکال
خودرای و مستبد	خودکامه
سر کوه	چکاد
نوعی خیابان	یکطرفه
کوچک و ظریف	نقلی
گازی قلیایی و بی‌رنگ	امونیاک
کنج و گوشه	زاویه
متخصص	کارشناس
محل کسب علم و دانش	مدرسه
داستان پي ير سووستر	فانتوماس
نام سریانی امام‌علی(ع)	ایلیا
گنج خسرو پرویز	باداور
مهاجم اسبق تیم منچستر یونایتد	وینرونی
خودم	اینجانب
مقابل گرمی	سردی
کلمه شگفتی	وه
خدای من	ربی
1030	لخت
مگر	الا
بخشی از کت	استین
سلاح پرتابی نینجا	شورایکن
سخن چینی	نمام
خانه سنگ پشت	لاک
گذشتگان	پیشینیان
سیستم کنترل صدا	اکولایزر
آب حاصل از ذوب شدن یخ	یخاب
فلز سکه زنی	نیکل
244	درم
بخشنده تر	اجود
فیلم برنده اسکار 1978 میلادی	شکارچیگوزن
از پادشاهان ساسانى	نرسی
تنبل جالیزی	کدو
دانه خوشبو	لاچی
از شهرهای استان گلستان	دلند
از بازیکنان اسبق تیم ملی فوتبال آلمان	نوونتی
واحد نظامی	هنگ
پذیرنده	قابل
ثروتمند	ینغ
مرغ انگلیسی	هن
داروی سیاه معطر	رامک
شهری در استان کردستان	قروه
قدرت خداوندی	یدالله
شهرت طلب	اوازهجو
وسیله ای در مطبخ	ابکش
معشوقی و محبوبی	دلبری
فرهنگستان	اکادمی
ریاضی‌دان آلمانی	گاوس
باران زیاد	صل
دائم و مدام	همیشه
چکش‌زن	پتکزن
باران تند	شلاب
خسیس و بخیل	کنس
متضاد اقارب	اباعد
بلند مرتبگی 	علا
سدی در استان گلستان	وشمگیر
سوره هفتاد و ششم قرآن	انسان
حشره پرکار	مور
یکی از قدیمی ترین زیارتگاه های شهر بندرعباس	پنجهعلی
کوشا و فعال	ساعی
تجویز پزشک	دارو
شهری در استان‌فارس	فیروزاباد
ناچیز	کم
بخشندگی و کرم	سخا
مقابل رقیق	غلیظ
این زمان	ایدون
شهری در شمال کشورمان	املش
بهشت زیر پای ‌اوست	مادر
ورزش آمادگی جسمانی	بدنسازی
سیاه رنگ	اسود
نوعی تنگ سفالی	کماس
دزدیدن	دستبرد
يکي از گوشه هاي دستگاه همايون	میگلی
فریاد	بانگ
آرامش و اطمینان	امان
نمایشنامه رادیویی	دراما
وطن و دیار	میهن
آزاد شدن بنده زر خرید از قید بندگی	عتق
خویشاوندان	ارحام
مقاومت وابسته به ولتاژ	وریستور
حرف یاوه می‌زند	بیهودهگوی
ا ا د ن و ه	انداوه
از گیاهان دارویی	مرمکی
از وسایل مخابراتی	بیسیم
جن زده	ینج
حسرت	اسف
خوارتر و پست‌تر	ارذل
مرطوب	نمور
سیمرغ	سیرنگ
رمان جين ايدي	دراغوشنور
شهامت	تهور
درک	حس
سیاستمدار انگلیسی	باتلر
نگهبان و مراقب	گارد
pyramid	هرم
پایتخت کشور گابن	لیبرویل
325	حواشی
ساز هندی	وینا
پایتخت ایسلند	ریکیاویک
اثری از احمد ناظرزاده کرمانی	شیرزاد
سوزاندن	حرق
جوشن	وشینه
واگذاری مالی به دیگران	هبه
اسطوره هندی	راما
Rooster	خروس
فیلمی از میلاد کی مرام	تاابد
سفره نوروزی	هفتسین
کبابی لذیذ	کبابترکی
قتلگاه امیر کبیر	فین
همنشین و همراه	همبر
نشانه ادبی فعل استمراری	همی
از صور فلکی مجاور قطب شمال	ذاتالکرسی
آسیب رساندن	صدمهزدن
رستاخیز	قیامت
آهنگساز آلمانی	یسون
زندان	هلفدونی
عرض	پهنا
از حروف اضافه	بدین
خجسته و مبارک	سعد
مخترع بطری سازی	اونیس
پایتخت اسپانیا	مادرید
بانگ اسب	شیهه
آدمکشی	قتل
دنباله روی سوزن	نخ
داماد	نتخ
سائل و متکدی	گدا
رشته کوه آسیایی	اورال
آلت دفاعی جنگی قدیم	سپر
tolerance	تحمل
مادر	مام
بازنده نیست	برنده
ژنرال انگلیسی که از بانیان کودتای سوم اسفند رضاخان بود	ایرونساید
برکت برنج	ری
حرف‌های بیهوده می‌زند	یاوهسرا
شیشه چراغ نفت سوز	مردنگی
آخرین نبرد ناپلئون	واترلو
خانه‌کوچک و محقر	کلبه
اقامت گزیدن	سکنی
چربی	پیه
سقف خانه	بام
باقی درهم	یبقا
مجموعه همایش های جهانی	تد
مایع لعابدار	اهار
شیوه کار	شگرد
طبل بزرگ	دهل
کاشف گردش خون	هاروی
جوی آب	جویبار
شوره‌زار و بیابان	کویر
روی سالاد می ریزند	سس
موی گردن شیر	یال
نوعی نان فرانسوی	باگت
بی سر و صدا	اهسته
گروه مردم	اباشه
زمین را خالی‌کردن	وادادن
سهل و آسان	یسیر
گناه	معصیت
مجبور نمودن	وادارکردن
خوشگذرانی و تنبلی	تناسانی
گاو کوهی	گوزن
لاغر شدن	نحافه
پارسا و عفیف	پاکرو
اسب جوان سرکش	هیدخ
نهنگ	وال
قطعه‌ای در اتومبیل	یاتاغان
دیواره	جداره
تنظیم کننده قند خون	انسولین
شهری بندری در شمال شرقی ایتالیا	ورونا
از انواع حج	عتمت
نام دختر اردشیر دوم	ردگونه
از هفت سین نوروزی	سماق
نوعی از مرکبات	بالنگ
تیزاب آزمایشگاه	اسید
منجم	ستارهشناس
از پرندگان سخنگو	مینا
تابناک و درخشان	روشن
لاک ناخن	مانیکور
اگر دو تا شوند باز هم به هم نمیرسند	کوه
نظام استبدادی	دیکتاتوری
طایفه	قوم
کوچکترین	زیر
رنگ و لون	فام
جمع رند	رنود
اثری از جان هرسي	اینجابمانید
مدارا کردن با مردم	مردمداری
از گیاهان دارویی	مرزه
بزرگ‌ترین بندر اروپا	روتردام
از دل پرسوز برآید	اه
یار و مصاحب	قرین
پایتخت لبنان	بیروت
پوچ و بیهوده	واهی
146	طوفان
گلوله ریسمان درهم پیچیده	کلاف
قوم حضرت هود(ع)	عاد
مقبول و دلپذیر	خوشایند
چرم نرم	مرن
brilliant	درخشان
شهری در یزد	میبد
پاک و پاکیزه	نزه
غده ای در بدن	طحال
نیمه بار	تا
ساده‌لوح و هالو	زودباور
ضد هم	متغایر
دیکتاتور	مستبد
تقویت امواج رادیویی	رله
حرکتی در جودو	کیوشو
ادب و تربیت	نزاکت
بی حالی و کسالت	سستی
آفریننده	صانع
در میان و در بین	فیمابین
پایتخت ماداگاسکار	تاناناریو
قوم قدیمی شمال ایران	دیلم
نوعی پیوند در شیمی	یونی
قطره باران	ژیک
از گروه‌های موسیقی کشورمان	اریان
فیلمی از اصغر فرهادی	شهرزیبا
کمان چهره آرا	ابرو
لوله خونی	رگ
دعوت شده	مدعو
سرمربی تیم تاتنهام	مورینیو
شاد شدن	طرب
گدا و دریوزه	متکدی
بانگ نزدیک	هی
کاردان و شایسته	کارامد
مجازا از همدل و همنشین	همزبان
آسایش یافته	اسوده
حرف 12 الفبای فارسی	ر
بطن	شکم
گهگاه و اتفاقا	احیانا
واحد شمارش چار پا	راس
کاهش هوشياري	نارکوز
فتنه انگیز	اتشبیار
ارعابگر	ارهابی
ضعیف و رنجور	زار
ا ب د ر م ا ه (درهم ریخته)	مهراباد
از مقاطع تحصیلی	دکترا
مرز	حد
از کشورهای آسیایی	لبنان
اسب جوان تند و تیز	هیدخ
آزرم	حیا
از گیاهان دارویی	پنیرباد
نور اندک	سو
از کوه های گیلان	دیلمان
پایتخت سریلانکا	کلمبو
فروشنده	بایع
تمدنی خاک شده	اکاد
کودک و طفل	بچه
کاروانسرایی در ۴۵ کیلومتری شهر سرخس	رباطشرف
اعتبار، آبرو	حیثیت
عروق ریز بدن	مویرگ
مرد نجیب و شریف	نبیل
زندگی و حیات	زیست
خجالتی	کمرو
مزه	چاشنی
دالان و راهرو	دهلیز
روستا و قریه	ابا دی
سنگ قبر	لحد
از الیاف مصنوعی	نایلون
صفت کنه!	سمج
شهری در لرستان	ازنا
عمل صالح و نیک	رهک
هشت پا	اختاپوس
ناخن پرندگان	مخلب
هم چشمی	رقابت
زیرکی و دانایی	کیاست
مالیات مرزی	گمرک
شعر رزمی	حماسه
پارچه نخی	چیت
فلز ارزنده	زر
مرده متحرک فیلم ها	زامبی
پایتخت دومینیکن	سانتودومینگو
شخصیت داستانی در داستان، رمان، نمایشنامه، یا فیلم	پرسوناژ
مولف آتلانتید	بنوا
رهبر و بزرگ قوم	زعیم
خوابیدن	ارامیدن
صوت	اوا
پیروان دین موسی(ع)	یهود
ناز و ادا	غمزه
ابزار اضافه لازم	یدکی
راه ریگستان	ولج
فشنگ خالی	پوکه
زیاد معروف نیست	کمنشان
تاتار	تتار
حشره چوب خور	موریانه
بدبختی	ادبار
از خیابان های تهران	پاسداران
بلا	افت
اصطلاحی در فوتبال	دریبل
از زبان های رسمی	لاتین
از شهرهای استان‌گیلان	رودسر
کارگاه هنری	اتلیه
شادی و خوشحالی	نشاط
نام قدیم دیفتری	خناق
از مواد غذایی سرشار از پروتئین	گوشت
murder	قتل
7	سد
سلمانی	ارایشگر
لقبی در ترکیه	پاشا
دلاور	حکم
نوعی کبک	دری
نان مانده	بیات
شبه جزیره ای در ترکیه	اناتولی
جیب بر و دزد	طرار
پستاندار دریایی	دلفین
تخت و سریر	اورنگ
واحد شمارش گاو	راس
کمک خواه	مددجو
گوشت کباب شده	بریان
سخنان بیمار گونه	یان
نوزادان توام	دوقلو
از لوازم آرایش	ریمل
خوش اندام	نازنین
اهلی نیست	وحشی
ایستاده و بی‌حرکت	راکد
تهی مغز	پوک
ناگهانی	یکباره
نار	اتش
از شهرهای استان گیلان	ماسوله
مرغ سنگ خواره	کتو
رب النوع خورشید	رع
حرکت باد	وزش
مثل و مانند	شبیه
دریای بین ترکیه و یونان	اژه
تکرار حرف 26 فارسی	لل
منطقه و ناحیه	قلمرو
اثری از آرتور شنیتسلر	بیاتریس
نشان دادن نیرو و توانایی	قدرتنمایی
بسیار کم	نمه
ممتاز و برگزیده	سرامد
زمین پر از پستی و بلندی	ناهموار
یک دوره حرکت	سیکل
وسیله نقلیه در قطب	سورتمه
حرف صریح	رک
قلمه گیاه	نشا
بیماری اختلال کلیه‌ها	اورمی
فرمانروایی	حکمرانی
از بازیگران جنگ ستارگان	هریسونفورد
خفگی	اختناق
مقابل تاریکی	روشنایی
نیمه دیوانه	خل
کلاغ سیاه	زاغ
وسیع تر	اوسع
کفش روستایی	لخا
پرنده ای کوچک و سیاه رنگ 	سار
موی مجعد	فرفری
شهری در ایالت اوهایو در کشور ایالات متحده آمریکا	کلیولند
فرشتگان	ملایک
پارچه لطیف زخم بندی	گاز
از مصالح ساختمانی	بتون
رنگ خزان	زرد
پری شکم از باد	نفخ
خودروی کره‌ای	دوو
impolite	بیادب
بلدیه‌ امروزی	شهرداری
معادل فارسی فولکلوریک	مردمی
پی در پی	متواتر
زلف دار	مزلف
بلند آوازه	ناماور
عنوان بندی	تیتراژ
روش و رفتار	سلوک
برنده آمریکایی نوبل 1936 ادبیات	یوجیناونیل
شتر تندرو	جماش
آذرخش	برق
بوی کهنگی	نا
فیلمی از احمدکاوری	دیگری
کاخ فرانسه	الیزه
متخلص به مخفی از زنان شاعر هند	زیبالنسا
از امراض عصبی	هیستری
اولین صدراعظم آلمان	اتوفونبیسمارک
پهلوان جنگ تروا	اولیس
شعر معروفِ این شاعر، در ستایش امام سجاد(ع)  است.	فرزدق
زیرکی، حیله	دها
سرگذشت کوتاه یک رویداد	تاریخچه
15	سارا
آبزی نیست	هوازی
بلند مرتبگی	علا
ruined	خراب
سست و مانده	وانی
نوعی میمون	گوریل
به خوبی پخته شدن غذا	جاافتادن
بوی خوش	نفحه
Target	هدف
استوار کردن	تحکیم
پاک و منزه	قدیس
رفتار و روش	مشی
کینه و کدورت	نقار
پنیرش معروف‌ است	لیقوان
100	مس
باج و خراج	ساو
هنوز بیگانه	تی
چوب مخصوص بوجاری	هید
کلاه به انگلیسی	هت
مولف الفهرست	ابنندیم
اثر تاریخی استان‌همدان	حمامقلعه
رنگ و فام	لون
مخالف	معارض
نویسنده، نمایش‌نامه‌نویس و عکاس ژاپنی بود.	کوبوابه
معادل فارسی فولکلور	فرهنگمردم
زبان	لسان
کشوری در آفریقا	کنگو
نوعی کوکو	کوکویسیبزمینی
چسبنده و لزج	نوچ
یاری دهندگان	انصار
چه بسیار	بسا
حرف آخر الفبا	یا
بدبو	نتن
کشوری در غرب آفریقا	بورکینافاسو
سخن موزون	منظوم
شهری در استان سیستان و بلوچستان	سرباز
حقیر و خوار	زبون
مقابل سبک	سنگین
فیلمی از ران‌هاوارد	ویلو
مقابل زوج	فرد
اکتساب	بهدستکردن
یار پیچ	مهره
نام سابق همدان	هگمتانه
سال ها	سنوات
قفل و کلید	اسکندان
کولی	غربتی
لغو شده	منحل
مورد خشم قرار گرفته	مغضوب
عداوت	دشمنی
نقاش و صورتگر	تمثالگر
گلی زیبا	یاسمین
نشانه ها	اثار
ظرف چوبی گل کشی	ناوه
نماد استقامت در طبیعت	کوه
از غزوات پیامبر	احد
ایوان	تراس
Hawk	شاهین
کلوب	باشگاه
حقارت و پستی	خسی
تقطیر گیاهان	عرق
ساختن چیز بهتر	بهسازی
از انواع کباب	برگ
مسافت	فاصله
بسیار تجسس کننده	جساس
فرودگاهی در ژاپن	ناریتا
بنا شده	مبنی
از شهرهای فرانسه	بوردو
بخشی از گیاه	ریشه
